new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
2.0,1.0,0.0,0.0,0.0,100.0,64.0,0.0,4642.0
2.0,0.0,0.0,0.0,1.0,100.0,64.0,0.0,4651.0
2.0,0.0,0.0,0.0,1.0,20.0,64.0,0.0,5052.4
2.0,0.0,1.0,0.0,0.0,80.0,4096.0,0.0,4680.4
2.0,1.0,1.0,0.0,0.0,100.0,64.0,2.0,4627.6
3.0,0.0,0.0,1.0,1.0,20.0,32.0,0.0,12180.6
2.0,0.0,0.0,0.0,1.0,100.0,4096.0,4.0,4366.0
2.0,1.0,1.0,0.0,1.0,80.0,512.0,4.0,4297.2
5.0,0.0,0.0,0.0,1.0,70.0,1.0,2.0,9125.0
2.0,1.0,1.0,0.0,0.0,30.0,4096.0,0.0,4839.4
5.0,0.0,0.0,0.0,1.0,80.0,4096.0,4.0,9188.0
2.0,1.0,0.0,0.0,1.0,100.0,4096.0,0.0,4668.0
5.0,0.0,0.0,0.0,1.0,50.0,2.0,0.0,9080.8
2.0,0.0,0.0,0.0,0.0,70.0,512.0,4.0,4454.0
4.0,1.0,1.0,0.0,1.0,90.0,4096.0,0.0,8888.8
5.0,0.0,0.0,0.0,0.0,90.0,4.0,0.0,9086.2
5.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,9130.0
2.0,1.0,0.0,0.0,0.0,100.0,4096.0,0.0,4686.8
2.0,1.0,1.0,0.0,1.0,100.0,4096.0,4.0,4379.2
2.0,1.0,0.0,0.0,0.0,100.0,4096.0,4.0,4388.2
2.0,0.0,0.0,0.0,0.0,30.0,8.0,2.0,5252.8
2.0,0.0,0.0,0.0,0.0,100.0,4096.0,4.0,4402.8
2.0,0.0,0.0,0.0,1.0,100.0,64.0,0.0,4651.0
2.0,1.0,0.0,0.0,0.0,100.0,32.0,2.0,4687.0
5.0,1.0,0.0,1.0,1.0,70.0,4.0,0.0,9156.2
