14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,0.0,1.472
14.0,1.0,1.46
15.0,0.0,1.534
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
16.0,0.0,1.59
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,0.0,1.472
24.0,1.0,1.57
14.0,1.0,1.46
14.0,1.0,1.46
16.0,0.0,1.59
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
19.0,1.0,1.604
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,0.0,1.472
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
13.0,1.0,1.514
23.0,0.0,1.556
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
14.0,1.0,1.46
